committee_id,committee_name,candidate_name,first_name,contest_id,party,force_id
C00902668,ABDUL FOR U.S. SENATE,elsayed,abdul,mi00,DEM,
C00801761,ADAM HOLLIER FOR CONGRESS,hollier,adam,mi13,DEM,
C00915975,AISHA FOR MICHIGAN,farooqi,aisha,mi11,DEM,
C00823435,ANTHONY HUDSON FOR US CONGRESS 2024,hudson,anthony,mi08,REP,
C00917948,BAKER FOR CONGRESS,baker,stu,mi11,DEM,
C00901728,BENHAMFORSENATE,benham,kent,mi00,REP,
C00614214,BERGMANFORCONGRESS,bergman,john,mi01,REP,
C00908525,BLUE COLLAR CASEY,armitage,casey,mi10,REP,
C00908541,BRINK FOR CONGRESS,brink,bridget,mi07,DEM,
C00901678,CHRISTINA FOR CONGRESS,hines,christina,mi10,DEM,
C00757633,COMMITTEE TO ELECT BRIAN JAYE,jaye,brian,mi10,DEM,
C00850594,COMMITTEE TO ELECT FIORLETTA,fiorletta,j allen,mi03,REP,
C00837112,COMMITTEE TO ELECT NASSER BEYDOUN,beydoun,nasser,mi00,DEM,
C00911313,COWEN FOR CONGRESS,cowen,josh,mi07,DEM,
C00558213,DEBBIE DINGELL FOR CONGRESS,dingell,debbie,mi06,DEM,
C00788588,DENOTTER FOR CONGRESS,denotter,matthew,mi01,REP,
C00902734,DIOP HARRIS FOR CONGRESS,harris,diop,mi04,DEM,
C00917229,DON UFFORD FOR MICHIGAN,ufford,don,mi11,DEM,
C00903591,DONAVAN MCKINNEY FOR CONGRESS,mckinney,donavan,mi13,DEM,
C00834218,ELISSA SLOTKIN FOR MICHIGAN,slotkin,elissa,mi00,DEM,
C00909002,ELYON BADGER FOR CONGRESS,smeltzerbadger,elyon,mi07,DEM,
C00837971,EMILY BUSCH FOR CONGRESS,busch,emily,mi10,DEM,
C00903815,ERIC CHUNG FOR MICHIGAN,chung,eric,mi10,DEM,
C00925743,FRIENDS OF MICHAEL BOUCHARD INC,bouchard,michael,mi10,REP,
C00922849,FRIENDS OF TONY PRIETO,prieto,antonio,mi11,REP,
C00903039,HALEY STEVENS FOR SENATE,stevens,haley,mi00,DEM,
C00911800,HASSAN FOR MICHIGAN,hassan,amir,mi08,REP,
C00880245,HAWKINS FOR CONGRESS,hawkins,shakira,mi13,DEM,
C00913269,"HONOR, DUTY & DISCIPLINE PAC",honordutydiscipline,,mi00,PAC,
C00459297,HUIZENGA FOR CONGRESS,huizenga,bill,mi04,REP,
C00904581,JEREMY MOSS FOR CONGRESS,moss,jeremy,mi11,DEM,
C00845933,JESSICA FOR MICHIGAN,swartz,jessica,mi04,DEM,
C00651208,"JOHN JAMES FOR SENATE, INC.",james,john,mi00,REP,
C00476291,JUSTIN AMASH FOR SENATE,justinamash,justin,mi00,OTH,
C00864207,KRISTEN FOR MICHIGAN,mcdonaldrivet,kristen,mi08,DEM,
C00726042,LISA MCCLAIN FOR CONGRESS,mcclain,lisa,mi09,REP,
C00903575,LYDIA CHRISTENSEN FOR UNITED STATES SENATE,christensen,lydia,mi00,IND,
C00916809,FRIENDS OF WILLIAM LAWRENCE MI,lawrence,william,mi07,DEM,
C00909549,MATT MAASDAM FOR CONGRESS,maasdam,matthew,mi07,DEM,
C00901173,MCMORROW FOR MICHIGAN,mcmorrow,mallory,mi00,DEM,
C00855668,"MEIJER FOR SENATE, INC.",meijer,peter,mi00,REP,
C00836809,MICHAEL MARKEY FOR CONGRESS,markey,michael,mi03,REP,
C00561530,MOOLENAAR FOR CONGRESS,moolenaar,john,mi02,REP,
C00902593,MUHAMMAD SALMAN RAIS,rais,muhammad,mi07,DEM,
C00726687,PAUL JUNGE FOR CONGRESS,junge,paul,mi08,REP,
C00437889,PETERS FOR MICHIGAN,peters,gary,mi00,DEM,
C00906867,RACHEL FOR US SENATE,howard,rachel,mi00,DEM,
C00668608,RASHIDA TLAIB FOR CONGRESS,tlaib,rashida,mi12,DEM,
C00909721,ROBERT LULGJURAJ FOR CONGRESS,lulgjuraj,robert,mi10,REP,
C00849810,ROGERS FOR SENATE,rogers,mike,mi00,REP,
C00926279,BERNADETTE SMITH FOR SENATE,smith,bernadette,mi00,REP,
C00711317,SCHOLTEN FOR CONGRESS,scholten,hillary,mi03,DEM,
C00903427,SCOTT FOR US SENATE,scott,genevieve,mi00,REP,
C00911784,SEAN MCCANN FOR CONGRESS,mccann,sean,mi04,DEM,
C00798132,SHRI FOR CONGRESS,thanedar,shri,mi13,DEM,
C00941211,STEFFAN FOR CONGRESS,demetropoulos,steffan,mi10,REP,
C00911297,STEGER FOR CONGRESS,steger,mike,mi11,REP,
C00918656,STEVEN J. ELLIOTT FOR CONGRESS,elliott,steven,mi10,REP,
C00941823,TERRI DEBOER FOR CONGRESS,deboer,terri,mi03,REP,
C00902080,TIM GREIMEL FOR CONGRESS,greimel,tim,mi10,DEM,
C00793976,TOM BARRETT FOR CONGRESS,barrett,tom,mi07,REP,
C00908293,TRIPP ADAMS FOR CONGRESS,adams,george,mi10,DEM,
C00898031,VOTE RICHARD AARON,aaron,richard,mi04,DEM,
C00675256,VOTE WILLIS FOR UNITED STATES SENATE MICHIGAN 2026 COMMITTEE ,willis,valerie,mi00,IND,
C00390724,WALBERG FOR CONGRESS,walberg,tim,mi05,REP,
C00897959,WAYNE FOR CONGRESS,stiles,wayne,mi01,DEM,
C00924456,JUSTIN KIRK FOR CONGRESS,kirk,justin,mi10,REP,
C00837054,CALLIE BARR FOR CONGRESS,barr,callie,mi01,DEM,
