committee_id,committee_name,candidate_name,first_name,contest_id,party,force_id
C00902668,ABDUL FOR U.S. SENATE,elsayed,abdul,mi00,DEM,
C00849810,ROGERS FOR SENATE,rogers,mike,mi00,REP,
C00614214,BERGMANFORCONGRESS,bergman,john,mi01,REP,
C00837054,CALLIE BARR FOR CONGRESS,barr,callie,mi01,DEM,
C00459297,HUIZENGA FOR CONGRESS,huizenga,bill,mi04,REP,
C00911784,SEAN MCCANN FOR CONGRESS,mccann,sean,mi04,DEM,
C00793976,TOM BARRETT FOR CONGRESS,barrett,tom,mi07,REP,
C00916809,FRIENDS OF WILLIAM LAWRENCE MI,lawrence,william,mi07,DEM,
C00925743,FRIENDS OF MICHAEL BOUCHARD INC,bouchard,michael,mi10,REP,
C00901678,CHRISTINA FOR CONGRESS,hines,christina,mi10,DEM,
