pulled_at,series_ticker,race,expiration_date,total_volume_usd,total_open_interest_usd,named_candidates,candidate_1,bid_1,ask_1,mid_1,vol_1_usd,oi_1_usd,candidate_2,bid_2,ask_2,mid_2,vol_2_usd,oi_2_usd,candidate_3,bid_3,ask_3,mid_3,vol_3_usd,oi_3_usd,candidate_4,bid_4,ask_4,mid_4,vol_4_usd,oi_4_usd,candidate_5,bid_5,ask_5,mid_5,vol_5_usd,oi_5_usd,candidate_6,bid_6,ask_6,mid_6,vol_6_usd,oi_6_usd,candidate_7,bid_7,ask_7,mid_7,vol_7_usd,oi_7_usd,candidate_8,bid_8,ask_8,mid_8,vol_8_usd,oi_8_usd,candidate_9,bid_9,ask_9,mid_9,vol_9_usd,oi_9_usd,candidate_10,bid_10,ask_10,mid_10,vol_10_usd,oi_10_usd,candidate_11,bid_11,ask_11,mid_11,vol_11_usd,oi_11_usd,candidate_12,bid_12,ask_12,mid_12,vol_12_usd,oi_12_usd,candidate_13,bid_13,ask_13,mid_13,vol_13_usd,oi_13_usd,candidate_14,bid_14,ask_14,mid_14,vol_14_usd,oi_14_usd,candidate_15,bid_15,ask_15,mid_15,vol_15_usd,oi_15_usd,candidate_16,bid_16,ask_16,mid_16,vol_16_usd,oi_16_usd,candidate_17,bid_17,ask_17,mid_17,vol_17_usd,oi_17_usd,candidate_18,bid_18,ask_18,mid_18,vol_18_usd,oi_18_usd
2026-08-05T13:40:01Z,KXSENATEMID,Michigan Senate — Dem Primary,2026-11-03T15:00:00Z,31337113.92,12520724.44,9,Abdul El-Sayed,0.995,0.997,0.996,9878242.21,4105923.62,Haley Stevens,0.003,0.008,0.005,20441430.64,7633971.13,Rashida Tlaib,0.000,0.001,0.001,19821.89,19546.89,Matt Sahr,0.000,0.001,0.001,4531.83,4531.83,Kristen McDonald Rivet,0.000,0.001,0.001,7090.54,5724.84,Dana Nessel,0.000,0.001,0.001,11725.48,11524.48,Andy Levin,0.000,0.001,0.001,7061.8,7061.8,Sarah Anthony,0.000,0.001,0.001,6112.98,6112.98,Mallory McMorrow,0.000,0.001,0.001,961096.55,726326.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T13:40:01Z,KXSENATEMIR,Michigan Senate — Rep Primary,2026-11-03T15:00:00Z,105605.79,83861.28,5,Mike Rogers,0.999,1.000,1.000,75280.22,53688.71,Bernadette Smith,0.000,0.001,0.001,21082.26,21004.26,Kent Benham,0.000,0.001,0.001,1710.21,1685.21,Genevieve Scott,0.000,0.001,0.001,1503.35,1453.35,Frederick Heurtebise,0.000,0.001,0.001,6029.75,6029.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T13:40:01Z,KXHOUSERACE,Michigan MI01 House — General,2027-11-03T15:00:00Z,17782.85,3943.54,2,Republican party,0.870,0.901,0.885,10313.39,1638.65,Democratic party,0.098,0.130,0.114,7469.46,2304.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T13:40:01Z,HOUSEMI10,Michigan MI-10 House — General,2027-11-03T15:00:00Z,15594.09,6822.41,2,Democratic party,0.650,0.690,0.670,9308.33,4610.65,Republican party,0.350,0.360,0.355,6285.76,2211.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T13:40:01Z,KXHOUSERACE,Michigan MI02 House — General,2027-11-03T15:00:00Z,8545.13,3827.0,2,Republican party,0.965,0.980,0.973,5964.0,2797.0,Democratic party,0.004,0.035,0.019,2581.13,1030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T13:40:01Z,KXHOUSERACE,Michigan MI09 House — General,2027-11-03T15:00:00Z,5723.42,1534.26,2,Republican party,0.934,0.966,0.950,4783.3,968.14,Democratic party,0.035,0.065,0.050,940.12,566.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T13:40:01Z,KXHOUSERACE,Michigan MI05 House — General,2027-11-03T15:00:00Z,2853.25,1490.25,2,Republican party,0.915,0.945,0.930,1463.0,602.0,Democratic party,0.073,0.085,0.079,1390.25,888.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T13:40:01Z,KXHOUSERACE,Michigan MI11 House — General,2027-11-03T15:00:00Z,2207.82,862.82,2,Democratic party,0.936,0.966,0.951,1067.0,50.0,Republican party,0.034,0.064,0.049,1140.82,812.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T13:40:01Z,KXHOUSERACE,Michigan MI06 House — General,2027-11-03T15:00:00Z,788.0,774.0,2,Democratic party,0.965,0.990,0.978,679.0,665.0,Republican party,0.005,0.035,0.020,109.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T13:40:01Z,KXHOUSERACE,Michigan MI12 House — General,2027-11-03T15:00:00Z,626.0,622.0,2,Democratic party,0.965,0.990,0.978,259.0,255.0,Republican party,0.005,0.035,0.020,367.0,367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
