pulled_at,pm_races,pm_volume_usd,pm_liquidity_usd,pm_open_interest_usd,ka_races,ka_volume_usd,ka_open_interest_usd,combined_volume_usd,combined_open_interest_usd
2026-05-07T18:51:34Z,24,1161167.34,511068.22,91735.11,13,722983.71,394921.97,1884151.05,486657.08
2026-05-08T13:06:23Z,24,1163494.43,561743.44,90769.01,13,725892.88,396520.91,1889387.31,487289.92
2026-05-09T12:52:09Z,24,1170930.3,549128.14,91201.18,13,735908.37,402136.97,1906838.67,493338.15
2026-05-10T12:53:05Z,24,1173917.23,565253.21,91791.95,13,747398.57,404616.49,1921315.8,496408.44
2026-05-11T14:24:33Z,24,1176891.91,552780.06,90983.13,13,751858.43,407613.9,1928750.34,498597.03
2026-05-12T13:51:41Z,24,1181794.08,239648.84,91198.15,13,756819.81,410377.64,1938613.89,501575.79
2026-05-13T14:04:16Z,24,1191061.07,339847.56,94268.3,13,774660.46,423865.55,1965721.53,518133.85
2026-05-14T13:28:00Z,24,1199048.56,474613.16,95250.62,13,797634.0,444252.86,1996682.56,539503.48
2026-05-15T13:27:17Z,24,1214640.16,235441.3,98032.54,13,802050.25,447779.13,2016690.41,545811.67
2026-05-16T12:56:28Z,24,1217589.19,486606.08,99125.82,13,812421.37,450840.23,2030010.56,549966.05
2026-05-17T12:54:25Z,24,1223355.6,497316.41,98828.01,13,816700.99,453963.08,2040056.59,552791.09
2026-05-18T14:52:46Z,24,1229106.35,540457.14,99175.9,13,821998.44,457191.3,2051104.79,556367.2
2026-05-19T14:33:58Z,24,1232358.78,517076.39,101062.71,13,829249.31,459100.01,2061608.09,560162.72
2026-05-20T14:32:57Z,24,1236739.16,528215.3,102572.51,13,839021.1,467568.19,2075760.26,570140.7
2026-05-21T14:38:48Z,24,1240440.52,527574.47,103157.46,13,849807.91,475585.81,2090248.43,578743.27
2026-05-22T14:13:35Z,24,1257198.83,463352.56,116450.83,13,904296.26,517425.16,2161495.09,633875.99
2026-05-23T12:57:42Z,24,1259419.79,543018.81,115585.9,13,908796.71,519364.67,2168216.5,634950.57
2026-05-24T12:57:51Z,24,1263271.63,567270.18,114180.67,13,924562.44,515690.36,2187834.07,629871.03
2026-05-25T14:31:32Z,24,1272822.66,610549.94,117629.65,13,927487.73,516643.0,2200310.39,634272.65
2026-05-26T14:38:41Z,24,1279999.21,566019.3,116810.78,13,929416.02,516965.41,2209415.23,633776.19
2026-05-27T14:52:58Z,24,1281476.41,545565.29,117306.89,13,940631.95,520311.36,2222108.36,637618.25
2026-05-28T15:25:00Z,24,1282968.84,577225.37,118153.13,13,965929.71,539910.75,2248898.55,658063.88
2026-05-29T14:37:22Z,25,1291073.6,386334.28,119519.59,13,976520.7,545606.26,2267594.3,665125.85
2026-05-30T13:00:47Z,25,1301675.95,596918.84,125022.13,13,988452.66,555131.06,2290128.61,680153.19
2026-05-31T13:11:28Z,25,1305110.21,615250.69,124552.2,13,990215.55,556225.89,2295325.76,680778.09
2026-06-01T17:14:52Z,25,1316792.76,764734.83,125905.19,13,1061018.71,565347.0,2377811.47,691252.19
2026-06-02T15:57:12Z,25,1321001.56,708428.36,123457.95,13,1079712.8,574864.71,2400714.36,698322.66
